time,temp_rtd [°C],temp_r [°C],temp_p [°C],humi_r [%],pressure_r [hPa],pressure_p [hPa]
2020-05-17 15:30:38,20.9166,21.8404,20.9930,67.1408,1013.6463,1015.7610
2020-05-17 15:30:43,20.9386,21.8458,21.0024,67.1246,1013.6452,1015.7917
2020-05-17 15:30:49,20.9583,21.8494,21.0128,67.1082,1013.6355,1015.7958
2020-05-17 15:30:53,20.9723,21.8536,21.0207,67.0968,1013.6623,1015.8568
2020-05-17 15:30:58,20.9869,21.8577,21.0287,67.0741,1013.6086,1015.8532
2020-05-17 15:31:04,21.0005,21.8620,21.0376,67.0523,1013.6612,1015.7317
2020-05-17 15:31:08,21.0136,21.8663,21.0467,67.0412,1013.6429,1015.7624
2020-05-17 15:31:14,21.0243,21.8708,21.0558,67.0021,1013.6601,1015.6942
2020-05-17 15:31:18,21.0356,21.8751,21.0651,66.9856,1013.6504,1015.8316
2020-05-17 15:31:23,21.0460,21.8791,21.0737,66.9635,1013.6944,1015.7326
2020-05-17 15:31:29,21.0563,21.8831,21.0820,66.9468,1013.7029,1015.7367
2020-05-17 15:31:33,21.0661,21.8868,21.0904,66.9133,1013.6395,1015.7218
2020-05-17 15:31:38,21.0756,21.8908,21.0988,66.8908,1013.6749,1015.7484
2020-05-17 15:31:44,21.0862,21.8946,21.1073,66.8858,1013.6921,1015.7679
2020-05-17 15:31:48,21.0977,21.9086,21.1209,66.6164,1013.8669,1016.0575
2020-05-17 15:31:53,21.1605,22.0277,21.1988,65.3860,1013.8929,1015.8142
2020-05-17 15:31:59,21.3362,22.2800,21.3787,61.8063,1013.7984,1015.6954
2020-05-17 15:32:03,21.6082,22.6209,21.6407,57.8352,1013.9190,1015.6255
2020-05-17 15:32:08,21.9763,23.0435,21.9843,53.3234,1013.8708,1015.4965
2020-05-17 15:32:14,22.4342,23.5339,22.4134,49.1814,1013.8693,1015.3628
2020-05-17 15:32:18,22.9535,24.0562,22.9020,45.8970,1013.8283,1015.3400
2020-05-17 15:32:24,23.5324,24.6098,23.4455,42.7685,1013.9515,1015.2746
2020-05-17 15:32:29,24.1622,25.1800,24.0372,40.6133,1013.8050,1015.1397
2020-05-17 15:32:33,24.8339,25.7455,24.6594,39.1268,1013.8676,1015.1191
2020-05-17 15:32:39,25.5464,26.3075,25.3114,36.9299,1013.8298,1015.1182
2020-05-17 15:32:43,26.2736,26.8652,25.9796,35.6731,1013.8724,1015.0694
2020-05-17 15:32:48,27.0115,27.4174,26.6594,34.1322,1013.9089,1015.1217
2020-05-17 15:32:54,27.7614,27.9647,27.3510,32.4806,1013.8058,1015.1228
2020-05-17 15:32:58,28.5056,28.5052,28.0419,31.4060,1013.8293,1015.1618
2020-05-17 15:33:03,29.2448,29.0429,28.7329,30.2132,1013.8652,1015.0900
2020-05-17 15:33:09,29.9859,29.5756,29.4233,29.0045,1013.8245,1015.1179
2020-05-17 15:33:13,30.7191,30.0968,30.1027,27.9749,1013.8139,1015.1356
2020-05-17 15:33:18,31.4361,30.6074,30.7755,27.0991,1013.7313,1015.2617
2020-05-17 15:33:24,32.1306,31.1065,31.4407,26.3471,1013.8571,1015.2970
2020-05-17 15:33:28,32.8132,31.5942,32.0941,25.6748,1013.7318,1015.2635
2020-05-17 15:33:34,33.4892,32.0754,32.7397,24.9788,1013.7575,1015.2068
2020-05-17 15:33:39,34.1607,32.5480,33.3785,24.3463,1013.8302,1015.2665
2020-05-17 15:33:43,34.8239,33.0134,34.0080,23.6872,1013.8255,1015.3826
2020-05-17 15:33:49,35.4769,33.4706,34.6289,23.1736,1013.8388,1015.2956
2020-05-17 15:33:53,36.1108,33.9150,35.2345,22.8605,1013.7686,1015.2553
2020-05-17 15:33:58,36.7263,34.3488,35.8270,22.3801,1013.8353,1015.2591
2020-05-17 15:34:04,37.3282,34.7733,36.4088,21.8493,1013.7994,1015.2019
2020-05-17 15:34:08,37.9163,35.1889,36.9780,21.4081,1013.7818,1015.1325
2020-05-17 15:34:13,38.4926,35.5980,37.5361,20.9218,1013.8183,1014.9794
2020-05-17 15:34:19,39.0592,35.9988,38.0845,20.4768,1013.8568,1014.9406
2020-05-17 15:34:23,39.6118,36.3897,38.6203,20.1495,1013.8550,1014.7711
2020-05-17 15:34:28,40.1491,36.7711,39.1430,19.6135,1013.8644,1014.6199
2020-05-17 15:34:34,40.6664,37.1438,39.6510,19.0234,1013.7833,1014.3511
2020-05-17 15:34:38,41.1639,37.5074,40.1438,19.0703,1013.8513,1014.3168
2020-05-17 15:34:44,41.6470,37.8646,40.6242,18.8074,1013.8255,1014.1984
2020-05-17 15:34:49,42.1210,38.2144,41.0944,18.4827,1013.7825,1014.1734
2020-05-17 15:34:53,42.5862,38.5589,41.5544,18.1921,1013.8657,1014.0538
2020-05-17 15:34:59,43.0434,38.9004,42.0060,18.0342,1013.7599,1013.9279
2020-05-17 15:35:04,43.4930,39.2376,42.4490,17.4569,1013.8446,1013.9350
2020-05-17 15:35:08,43.9329,39.5706,42.8833,17.0627,1013.8426,1013.9050
2020-05-17 15:35:14,44.3640,39.8974,43.3085,16.6728,1013.8447,1013.8599
2020-05-17 15:35:18,44.7848,40.2176,43.7237,16.3933,1013.8076,1013.7773
2020-05-17 15:35:23,45.1964,40.5324,44.1299,16.1026,1013.8858,1013.7807
2020-05-17 15:35:29,45.5996,40.8428,44.5285,15.9167,1013.8745,1013.7129
2020-05-17 15:35:33,45.9935,41.1479,44.9186,15.7741,1013.8564,1013.7005
2020-05-17 15:35:38,46.3780,41.4488,45.3006,15.4782,1013.8328,1013.5589
2020-05-17 15:35:44,46.7534,41.7452,45.6753,15.3087,1013.8183,1013.5749
2020-05-17 15:35:48,47.1205,42.0370,46.0422,15.1563,1013.8649,1013.4970
2020-05-17 15:35:54,47.4806,42.3264,46.4023,14.9924,1013.7495,1013.4546
2020-05-17 15:35:59,47.8338,42.6123,46.7556,14.7353,1013.8001,1013.3903
2020-05-17 15:36:04,48.1794,42.8941,47.1016,14.5633,1013.8453,1013.3400
2020-05-17 15:36:09,48.5180,43.1728,47.4412,14.2894,1013.8057,1013.2392
2020-05-17 15:36:14,48.8494,43.4477,47.7736,14.1222,1013.8073,1013.2246
2020-05-17 15:36:19,49.1723,43.7241,48.1007,13.3539,1013.8739,1013.2584
2020-05-17 15:36:24,49.5033,44.0109,48.4318,12.7455,1013.8826,1013.1781
2020-05-17 15:36:29,49.8452,44.3057,48.7675,12.3488,1013.7786,1013.0874
2020-05-17 15:36:34,50.1979,44.6064,49.1092,11.8763,1013.8132,1012.9823
2020-05-17 15:36:39,50.5624,44.9135,49.4570,11.3459,1013.8409,1012.8471
2020-05-17 15:36:43,50.9354,45.2241,49.8072,10.9856,1013.7256,1012.7837
2020-05-17 15:36:49,51.3110,45.5325,50.1588,10.7221,1013.8278,1012.6879
2020-05-17 15:36:54,51.6872,45.8415,50.5125,10.3340,1013.7043,1012.5255
2020-05-17 15:36:59,52.0632,46.1502,50.8672,10.1083,1013.7007,1012.5828
2020-05-17 15:37:04,52.4431,46.4591,51.2238,9.8356,1013.6995,1012.4039
2020-05-17 15:37:09,52.8218,46.7661,51.5801,9.5482,1013.7215,1012.2434
2020-05-17 15:37:14,53.1962,47.0711,51.9338,9.6087,1013.4380,1012.0574
2020-05-17 15:37:19,53.5591,47.3647,52.2791,10.4016,1013.4554,1012.0684
2020-05-17 15:37:24,53.9020,47.6450,52.6137,10.9282,1013.4981,1012.1081
2020-05-17 15:37:29,54.2255,47.9122,52.9372,11.3099,1013.4375,1012.0799
2020-05-17 15:37:34,54.5283,48.1658,53.2484,11.6977,1013.3735,1012.1130
2020-05-17 15:37:39,54.8124,48.4069,53.5481,11.9483,1013.3717,1012.1568
2020-05-17 15:37:44,55.0782,48.6360,53.8358,12.2197,1013.2909,1012.1311
2020-05-17 15:37:49,55.3252,48.8531,54.1115,12.4366,1013.2506,1012.2396
2020-05-17 15:37:54,55.5558,49.0598,54.3755,12.5585,1013.2893,1012.2135
2020-05-17 15:37:59,55.7702,49.2561,54.6275,12.6701,1013.2410,1012.2542
2020-05-17 15:38:04,55.9683,49.4424,54.8671,12.7673,1013.2005,1012.3114
2020-05-17 15:38:09,56.1529,49.6199,55.0958,12.8344,1013.1948,1012.3544
2020-05-17 15:38:14,56.3235,49.7887,55.3127,12.9413,1013.2050,1012.3721
2020-05-17 15:38:19,56.4796,49.9487,55.5177,13.0397,1013.1448,1012.4607
2020-05-17 15:38:24,56.6236,50.1016,55.7124,13.0778,1013.1533,1012.5597
2020-05-17 15:38:29,56.7558,50.2470,55.8957,13.1187,1013.1529,1012.5721
2020-05-17 15:38:34,56.8760,50.3850,56.0682,13.2163,1013.1233,1012.4950
2020-05-17 15:38:39,56.9862,50.5168,56.2311,13.1892,1013.1424,1012.5884
2020-05-17 15:38:44,57.0859,50.6422,56.3840,13.2729,1013.0789,1012.6810
2020-05-17 15:38:49,57.1761,50.7619,56.5278,13.2877,1013.0032,1012.7563
2020-05-17 15:38:54,57.2576,50.8759,56.6625,13.2924,1013.0985,1012.7584
2020-05-17 15:38:59,57.3302,50.9843,56.7883,13.3418,1012.9767,1012.7373
2020-05-17 15:39:04,57.3949,51.0879,56.9061,13.4039,1012.9942,1012.8151
2020-05-17 15:39:09,57.4522,51.1864,57.0159,13.4074,1013.0270,1012.8983
2020-05-17 15:39:15,57.5014,51.2803,57.1173,13.4460,1012.9456,1012.8790
2020-05-17 15:39:19,57.5439,51.3702,57.2117,13.4684,1013.0034,1013.0311
2020-05-17 15:39:24,57.5797,51.4559,57.2988,13.5380,1012.9582,1012.9802
2020-05-17 15:39:29,57.6088,51.5375,57.3786,13.5127,1012.9862,1012.9854
2020-05-17 15:39:34,57.6327,51.6152,57.4522,13.5490,1013.0102,1013.0054
2020-05-17 15:39:39,57.6509,51.6894,57.5196,13.5772,1012.9895,1013.0733
2020-05-17 15:39:44,57.6636,51.7599,57.5805,13.5880,1012.8788,1012.9604
2020-05-17 15:39:49,57.6717,51.8272,57.6360,13.5845,1012.8944,1013.1266
2020-05-17 15:39:54,57.6753,51.8911,57.6858,13.6461,1012.9660,1013.1967
2020-05-17 15:39:59,57.6746,51.9520,57.7301,13.6595,1012.8802,1013.1469
2020-05-17 15:40:04,57.6700,52.0099,57.7695,13.6865,1012.9970,1013.2097
2020-05-17 15:40:10,57.6613,52.0649,57.8036,13.7288,1012.9338,1013.1413
2020-05-17 15:40:14,57.6490,52.1172,57.8335,13.7346,1012.9658,1013.2193
2020-05-17 15:40:19,57.6332,52.1669,57.8588,13.7538,1012.9445,1013.2433
2020-05-17 15:40:25,57.6134,52.2136,57.8790,13.7978,1012.8962,1013.2055
2020-05-17 15:40:29,57.5906,52.2580,57.8953,13.8468,1012.8792,1013.2469
2020-05-17 15:40:34,57.5647,52.3002,57.9076,13.8396,1012.8336,1013.1975
2020-05-17 15:40:40,57.5358,52.3400,57.9160,13.8672,1012.8756,1013.2612
2020-05-17 15:40:44,57.5045,52.3777,57.9211,13.9088,1012.8546,1013.2941
2020-05-17 15:40:49,57.4708,52.4131,57.9229,13.9162,1012.9293,1013.3298
2020-05-17 15:40:55,57.4345,52.4467,57.9211,13.9470,1012.8667,1013.4420
2020-05-17 15:40:59,57.3963,52.4784,57.9164,13.9602,1012.8926,1013.3936
2020-05-17 15:41:05,57.3559,52.5079,57.9086,14.0170,1012.8616,1013.3559
2020-05-17 15:41:09,57.3135,52.5354,57.8977,14.0229,1012.7987,1013.3981
2020-05-17 15:41:14,57.2693,52.5612,57.8841,14.0833,1012.9103,1013.3552
2020-05-17 15:41:20,57.2231,52.5852,57.8678,14.0851,1012.9107,1013.3815
2020-05-17 15:41:24,57.1753,52.6074,57.8493,14.1527,1012.8273,1013.3424
2020-05-17 15:41:29,57.1258,52.6278,57.8283,14.1765,1012.8087,1013.4335
2020-05-17 15:41:35,57.0747,52.6464,57.8051,14.2371,1012.7907,1013.3530
2020-05-17 15:41:39,57.0224,52.6633,57.7801,14.2790,1012.7801,1013.3287
2020-05-17 15:41:44,56.9690,52.6787,57.7529,14.3572,1012.8508,1013.4123
2020-05-17 15:41:50,56.9140,52.6923,57.7237,14.3715,1012.8701,1013.4438
2020-05-17 15:41:54,56.8580,52.7046,57.6927,14.4178,1012.8441,1013.3743
2020-05-17 15:42:00,56.8009,52.7156,57.6599,14.4466,1012.8214,1013.3723
2020-05-17 15:42:05,56.7425,52.7251,57.6250,14.4973,1012.8286,1013.4730
2020-05-17 15:42:09,56.6832,52.7332,57.5887,14.5570,1012.8621,1013.4186
2020-05-17 15:42:15,56.6231,52.7399,57.5507,14.6014,1012.7843,1013.4712
2020-05-17 15:42:20,56.5619,52.7453,57.5111,14.6496,1012.8209,1013.3998
2020-05-17 15:42:24,56.4999,52.7496,57.4700,14.6834,1012.7943,1013.5047
2020-05-17 15:42:30,56.4371,52.7527,57.4276,14.7364,1012.8357,1013.5371
2020-05-17 15:42:35,56.3736,52.7549,57.3840,14.7578,1012.8653,1013.5885
2020-05-17 15:42:40,56.3094,52.7558,57.3391,14.8007,1012.8765,1013.4896
2020-05-17 15:42:45,56.2445,52.7556,57.2928,14.8773,1012.8015,1013.4617
2020-05-17 15:42:50,56.1793,52.7546,57.2454,14.8996,1012.7214,1013.5009
2020-05-17 15:42:55,56.1134,52.7524,57.1970,14.9661,1012.7853,1013.5365
2020-05-17 15:43:01,56.0469,52.7490,57.1474,15.0023,1012.7480,1013.4757
2020-05-17 15:43:05,55.9802,52.7447,57.0971,15.0417,1012.7572,1013.4380
2020-05-17 15:43:10,55.9131,52.7395,57.0458,15.0701,1012.8175,1013.5824
2020-05-17 15:43:15,55.8454,52.7334,56.9934,15.1040,1012.8099,1013.4777
2020-05-17 15:43:20,55.7774,52.7265,56.9404,15.2043,1012.7510,1013.4730
2020-05-17 15:43:25,55.7091,52.7187,56.8867,15.2280,1012.7976,1013.4718
2020-05-17 15:43:30,55.6405,52.7101,56.8322,15.2906,1012.7834,1013.5574
2020-05-17 15:43:35,55.5717,52.7006,56.7771,15.3257,1012.7984,1013.4890
2020-05-17 15:43:41,55.5026,52.6903,56.7211,15.3665,1012.8216,1013.5835
2020-05-17 15:43:45,55.4333,52.6791,56.6645,15.4203,1012.8280,1013.5517
2020-05-17 15:43:50,55.3637,52.6672,56.6074,15.4885,1012.8219,1013.5477
2020-05-17 15:43:56,55.2940,52.6545,56.5498,15.5484,1012.8000,1013.5044
2020-05-17 15:44:00,55.2241,52.6411,56.4916,15.5807,1012.7406,1013.4613
2020-05-17 15:44:05,55.1542,52.6271,56.4330,15.6275,1012.7914,1013.5806
2020-05-17 15:44:11,55.0841,52.6123,56.3739,15.6985,1012.7942,1013.5388
2020-05-17 15:44:15,55.0139,52.5968,56.3145,15.7427,1012.8553,1013.5156
2020-05-17 15:44:20,54.9436,52.5807,56.2546,15.7642,1012.8382,1013.5640
2020-05-17 15:44:26,54.8732,52.5639,56.1942,15.8164,1012.7929,1013.5865
2020-05-17 15:44:30,54.8028,52.5465,56.1334,15.8860,1012.8287,1013.5481
2020-05-17 15:44:36,54.7326,52.5285,56.0724,15.9623,1012.8478,1013.4946
2020-05-17 15:44:41,54.6622,52.5099,56.0110,15.9957,1012.8106,1013.4708
2020-05-17 15:44:45,54.5918,52.4906,55.9495,16.0532,1012.7817,1013.5374
2020-05-17 15:44:51,54.5214,52.4706,55.8875,16.1245,1012.7391,1013.5720
2020-05-17 15:44:56,54.4509,52.4500,55.8253,16.1691,1012.8108,1013.5701
2020-05-17 15:45:01,54.3805,52.4288,55.7629,16.2287,1012.7513,1013.5256
2020-05-17 15:45:06,54.3100,52.4070,55.7002,16.3034,1012.7751,1013.4491
2020-05-17 15:45:11,54.2395,52.3846,55.6374,16.3427,1012.7935,1013.5395
2020-05-17 15:45:16,54.1690,52.3618,55.5743,16.4003,1012.7838,1013.5277
2020-05-17 15:45:21,54.0986,52.3385,55.5110,16.4564,1012.7318,1013.5933
2020-05-17 15:45:26,54.0282,52.3149,55.4476,16.4922,1012.7578,1013.5430
2020-05-17 15:45:31,53.9579,52.2908,55.3841,16.5817,1012.7621,1013.5532
2020-05-17 15:45:36,53.8877,52.2663,55.3205,16.6065,1012.7826,1013.5856
2020-05-17 15:45:41,53.8176,52.2414,55.2567,16.6551,1012.8197,1013.5978
2020-05-17 15:45:46,53.7477,52.2159,55.1929,16.7641,1012.7903,1013.5748
2020-05-17 15:45:51,53.6777,52.1901,55.1290,16.8007,1012.7909,1013.5293
2020-05-17 15:45:56,53.6078,52.1638,55.0650,16.8693,1012.8336,1013.5815
2020-05-17 15:46:02,53.5381,52.1371,55.0008,16.9338,1012.7618,1013.5709
2020-05-17 15:46:07,53.4685,52.1099,54.9366,16.9640,1012.8545,1013.6199
2020-05-17 15:46:12,53.3990,52.0825,54.8724,17.0203,1012.7573,1013.5689
2020-05-17 15:46:17,53.3296,52.0545,54.8080,17.0902,1012.7858,1013.5655
2020-05-17 15:46:22,53.2604,52.0263,54.7436,17.1507,1012.7387,1013.5643
2020-05-17 15:46:27,53.1913,51.9975,54.6792,17.2212,1012.8061,1013.5005
2020-05-17 15:46:32,53.1223,51.9685,54.6147,17.2750,1012.7756,1013.5370
2020-05-17 15:46:37,53.0536,51.9392,54.5503,17.3305,1012.8065,1013.6706
2020-05-17 15:46:42,52.9849,51.9097,54.4859,17.3973,1012.7508,1013.5290
2020-05-17 15:46:47,52.9165,51.8799,54.4214,17.4466,1012.7816,1013.5849
2020-05-17 15:46:52,52.8482,51.8498,54.3571,17.4902,1012.7760,1013.5656
2020-05-17 15:46:57,52.7801,51.8192,54.2928,17.5726,1012.7313,1013.5341
2020-05-17 15:47:02,52.7122,51.7883,54.2285,17.6575,1012.7312,1013.5548
2020-05-17 15:47:07,52.6445,51.7571,54.1642,17.6876,1012.7032,1013.4979
2020-05-17 15:47:13,52.5770,51.7258,54.1000,17.7490,1012.7337,1013.5236
2020-05-17 15:47:17,52.5095,51.6943,54.0359,17.7909,1012.7697,1013.5815
2020-05-17 15:47:23,52.4423,51.6624,53.9718,17.8540,1012.7776,1013.5669
2020-05-17 15:47:28,52.3752,51.6302,53.9077,17.9277,1012.7716,1013.5349
2020-05-17 15:47:33,52.3084,51.5977,53.8436,17.9768,1012.7739,1013.6177
2020-05-17 15:47:38,52.2417,51.5651,53.7797,18.0297,1012.7875,1013.5080
2020-05-17 15:47:43,52.1752,51.5325,53.7158,18.0891,1012.7843,1013.5632
2020-05-17 15:47:48,52.1089,51.4995,53.6520,18.1454,1012.6973,1013.5508
2020-05-17 15:47:53,52.0428,51.4664,53.5884,18.1944,1012.7273,1013.5385
2020-05-17 15:47:58,51.9769,51.4330,53.5248,18.2549,1012.7739,1013.5385
2020-05-17 15:48:03,51.9112,51.3993,53.4614,18.3275,1012.7927,1013.5111
2020-05-17 15:48:09,51.8457,51.3654,53.3980,18.4072,1012.7778,1013.5235
2020-05-17 15:48:13,51.7803,51.3313,53.3347,18.4423,1012.7744,1013.5858
2020-05-17 15:48:18,51.7152,51.2972,53.2715,18.4895,1012.7431,1013.4833
2020-05-17 15:48:24,51.6502,51.2627,53.2084,18.5757,1012.7113,1013.5655
2020-05-17 15:48:29,51.5855,51.2282,53.1454,18.6226,1012.7440,1013.5528
2020-05-17 15:48:34,51.5210,51.1934,53.0825,18.6837,1012.7095,1013.5401
2020-05-17 15:48:39,51.4567,51.1585,53.0197,18.7613,1012.7252,1013.5672
2020-05-17 15:48:44,51.3926,51.1234,52.9570,18.8218,1012.8186,1013.4920
2020-05-17 15:48:49,51.3288,51.0882,52.8945,18.8826,1012.7645,1013.5265
2020-05-17 15:48:54,51.2651,51.0528,52.8320,18.9298,1012.7246,1013.4737
2020-05-17 15:48:59,51.2017,51.0171,52.7697,19.0273,1012.7370,1013.5306
2020-05-17 15:49:05,51.1385,50.9814,52.7075,19.0504,1012.7525,1013.4902
2020-05-17 15:49:10,51.0756,50.9455,52.6455,19.1357,1012.7092,1013.5745
2020-05-17 15:49:15,51.0128,50.9096,52.5836,19.1700,1012.7221,1013.4717
2020-05-17 15:49:20,50.9503,50.8735,52.5218,19.2467,1012.6711,1013.4935
